State,Year,Age
NSW,1975,25.9
NSW,1976,26.1
NSW,1977,26.3
NSW,1978,26.5
NSW,1979,26.6
NSW,1980,26.7
NSW,1981,26.8
NSW,1982,26.9
NSW,1983,27
NSW,1984,27.2
NSW,1985,27.4
NSW,1986,27.6
NSW,1987,27.8
NSW,1988,28
NSW,1989,28.2
NSW,1990,28.4
NSW,1991,28.6
NSW,1992,28.7
NSW,1993,28.9
NSW,1994,29
NSW,1995,29.2
NSW,1996,29.3
NSW,1997,29.4
NSW,1998,29.5
NSW,1999,29.6
NSW,2000,29.8
NSW,2001,30
NSW,2002,30.3
NSW,2003,30.5
NSW,2004,30.6
NSW,2005,30.7
NSW,2006,30.8
NSW,2007,30.8
NSW,2008,30.8
NSW,2009,30.8
NSW,2010,30.8
NSW,2011,30.9
NSW,2012,30.9
NSW,2013,31
NSW,2014,31.2
NSW,2015,31.2
NSW,2016,31.3
NSW,2017,31.4
NSW,2018,31.5
NSW,2019,31.5
NSW,2020,31.7
NSW,2021,31.9
Vic.,1975,26.1
Vic.,1976,26.2
Vic.,1977,26.4
Vic.,1978,26.7
Vic.,1979,26.9
Vic.,1980,27
Vic.,1981,27.1
Vic.,1982,27.3
Vic.,1983,27.3
Vic.,1984,27.6
Vic.,1985,27.8
Vic.,1986,28
Vic.,1987,28.2
Vic.,1988,28.4
Vic.,1989,28.6
Vic.,1990,28.8
Vic.,1991,28.9
Vic.,1992,29.2
Vic.,1993,29.3
Vic.,1994,29.5
Vic.,1995,29.7
Vic.,1996,29.9
Vic.,1997,30
Vic.,1998,30.2
Vic.,1999,30.4
Vic.,2000,30.5
Vic.,2001,30.7
Vic.,2002,31
Vic.,2003,31.2
Vic.,2004,31.3
Vic.,2005,31.5
Vic.,2006,31.7
Vic.,2007,31.6
Vic.,2008,31.6
Vic.,2009,31.5
Vic.,2010,31.6
Vic.,2011,31.4
Vic.,2012,31.3
Vic.,2013,31.5
Vic.,2014,31.5
Vic.,2015,31.6
Vic.,2016,31.7
Vic.,2017,31.8
Vic.,2018,32
Vic.,2019,32.1
Vic.,2020,32.2
Vic.,2021,32.4
Qld,1975,25.4
Qld,1976,25.5
Qld,1977,25.7
Qld,1978,25.8
Qld,1979,26
Qld,1980,26.1
Qld,1981,26.1
Qld,1982,26.3
Qld,1983,26.3
Qld,1984,26.6
Qld,1985,26.8
Qld,1986,27
Qld,1987,27.2
Qld,1988,27.4
Qld,1989,27.7
Qld,1990,27.9
Qld,1991,28
Qld,1992,28.2
Qld,1993,28.3
Qld,1994,28.4
Qld,1995,28.4
Qld,1996,28.5
Qld,1997,28.6
Qld,1998,28.8
Qld,1999,28.9
Qld,2000,29.1
Qld,2001,29.3
Qld,2002,29.5
Qld,2003,29.7
Qld,2004,29.8
Qld,2005,29.9
Qld,2006,30
Qld,2007,29.9
Qld,2008,29.7
Qld,2009,29.6
Qld,2010,29.7
Qld,2011,29.8
Qld,2012,29.8
Qld,2013,29.9
Qld,2014,30.1
Qld,2015,30.2
Qld,2016,30.4
Qld,2017,30.4
Qld,2018,30.5
Qld,2019,30.6
Qld,2020,30.8
Qld,2021,30.9
SA,1975,25.4
SA,1976,25.6
SA,1977,25.8
SA,1978,25.9
SA,1979,26.1
SA,1980,26.1
SA,1981,26.4
SA,1982,26.5
SA,1983,26.6
SA,1984,26.8
SA,1985,27
SA,1986,27.2
SA,1987,27.5
SA,1988,27.7
SA,1989,27.9
SA,1990,28.1
SA,1991,28.3
SA,1992,28.7
SA,1993,29.1
SA,1994,29.2
SA,1995,29.4
SA,1996,29.4
SA,1997,29.7
SA,1998,29.8
SA,1999,29.9
SA,2000,30.1
SA,2001,30.3
SA,2002,30.4
SA,2003,30.6
SA,2004,30.8
SA,2005,30.1
SA,2006,30.3
SA,2007,30.3
SA,2008,30.3
SA,2009,30.2
SA,2010,30.2
SA,2011,30.3
SA,2012,30.3
SA,2013,30.4
SA,2014,30.6
SA,2015,30.7
SA,2016,30.9
SA,2017,31
SA,2018,31.1
SA,2019,31.2
SA,2020,31.4
SA,2021,31.4
WA,1975,25.3
WA,1976,25.5
WA,1977,25.7
WA,1978,25.9
WA,1979,26.1
WA,1980,26.2
WA,1981,26.4
WA,1982,26.6
WA,1983,26.7
WA,1984,26.9
WA,1985,27.2
WA,1986,27.3
WA,1987,27.6
WA,1988,27.8
WA,1989,28
WA,1990,28.2
WA,1991,28.3
WA,1992,28.5
WA,1993,28.7
WA,1994,28.7
WA,1995,28.8
WA,1996,28.9
WA,1997,29.2
WA,1998,29.3
WA,1999,29.4
WA,2000,29.6
WA,2001,29.8
WA,2002,29.9
WA,2003,30.2
WA,2004,30.2
WA,2005,30.4
WA,2006,30.4
WA,2007,30.3
WA,2008,30.3
WA,2009,30.2
WA,2010,30.2
WA,2011,30.3
WA,2012,30.3
WA,2013,30.4
WA,2014,30.6
WA,2015,30.7
WA,2016,30.9
WA,2017,31.1
WA,2018,31.2
WA,2019,31.4
WA,2020,31.5
WA,2021,31.6
Tas.,1975,24.8
Tas.,1976,24.9
Tas.,1977,25.1
Tas.,1978,25.2
Tas.,1979,25.3
Tas.,1980,25.6
Tas.,1981,25.5
Tas.,1982,25.8
Tas.,1983,26
Tas.,1984,26.3
Tas.,1985,26.5
Tas.,1986,26.6
Tas.,1987,27
Tas.,1988,27.3
Tas.,1989,27.4
Tas.,1990,27.8
Tas.,1991,27.7
Tas.,1992,28
Tas.,1993,27.9
Tas.,1994,28.1
Tas.,1995,28.5
Tas.,1996,28.3
Tas.,1997,28.2
Tas.,1998,28.6
Tas.,1999,28.6
Tas.,2000,28.7
Tas.,2001,29.1
Tas.,2002,28.9
Tas.,2003,29.3
Tas.,2004,29.2
Tas.,2005,29.4
Tas.,2006,29.3
Tas.,2007,29.2
Tas.,2008,29.2
Tas.,2009,29.1
Tas.,2010,29.2
Tas.,2011,29.4
Tas.,2012,29.5
Tas.,2013,29.4
Tas.,2014,29.6
Tas.,2015,29.8
Tas.,2016,30
Tas.,2017,30.1
Tas.,2018,30.2
Tas.,2019,30.3
Tas.,2020,30.4
Tas.,2021,30.6
NT,1975,25.2
NT,1976,25
NT,1977,25.8
NT,1978,25.4
NT,1979,25.4
NT,1980,25.6
NT,1981,25.6
NT,1982,25.5
NT,1983,25.8
NT,1984,25.7
NT,1985,26.1
NT,1986,25.7
NT,1987,26
NT,1988,26.4
NT,1989,26.5
NT,1990,26.5
NT,1991,26.7
NT,1992,26.3
NT,1993,26.7
NT,1994,26.7
NT,1995,26.8
NT,1996,27.1
NT,1997,27
NT,1998,27.4
NT,1999,27.5
NT,2000,27.7
NT,2001,27.9
NT,2002,28.1
NT,2003,28.2
NT,2004,28.3
NT,2005,27.9
NT,2006,28.1
NT,2007,28
NT,2008,28.1
NT,2009,28.3
NT,2010,28.5
NT,2011,28.5
NT,2012,28.6
NT,2013,29
NT,2014,28.9
NT,2015,29.5
NT,2016,29.6
NT,2017,29.8
NT,2018,29.7
NT,2019,29.8
NT,2020,30.3
NT,2021,30.4
ACT,1975,26.5
ACT,1976,26.7
ACT,1977,27.1
ACT,1978,27.1
ACT,1979,27.4
ACT,1980,27.8
ACT,1981,27.9
ACT,1982,28.1
ACT,1983,28
ACT,1984,28.4
ACT,1985,28.4
ACT,1986,28.5
ACT,1987,28.5
ACT,1988,28.7
ACT,1989,28.8
ACT,1990,28.8
ACT,1991,28.9
ACT,1992,28.9
ACT,1993,29.1
ACT,1994,29.4
ACT,1995,29.4
ACT,1996,29.6
ACT,1997,29.8
ACT,1998,29.9
ACT,1999,30.2
ACT,2000,30.2
ACT,2001,30.4
ACT,2002,30.7
ACT,2003,31
ACT,2004,31.6
ACT,2005,31.4
ACT,2006,31.4
ACT,2007,31.3
ACT,2008,31.6
ACT,2009,31.4
ACT,2010,31.5
ACT,2011,31.5
ACT,2012,31.3
ACT,2013,31.6
ACT,2014,31.6
ACT,2015,31.7
ACT,2016,31.9
ACT,2017,32.2
ACT,2018,32.3
ACT,2019,32.2
ACT,2020,32.4
ACT,2021,32.6
